
     time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
     1012    11540  0.127267E+02  0.120837E+02 -0.625734E+00  0.388695E+05  0.183527E+01  0.395406E+03
     1062    11117  0.134346E+02  0.128031E+02  0.721803E+00  0.405909E+05  0.191081E+01  0.415502E+03
     1115    10735  0.141453E+02  0.133809E+02  0.853763E+00  0.424659E+05  0.198891E+01  0.433052E+03
     1170    10352  0.148654E+02  0.141651E+02  0.108752E+01  0.441881E+05  0.206602E+01  0.450909E+03
     1228     9970  0.156534E+02  0.149403E+02  0.441105E+00  0.459964E+05  0.214790E+01  0.470581E+03
     1289     9641  0.164950E+02  0.157663E+02  0.721411E+00  0.483276E+05  0.223890E+01  0.495777E+03
     1353     9270  0.175708E+02  0.167350E+02  0.138594E+01  0.503513E+05  0.233054E+01  0.515967E+03
     1420     8957  0.185962E+02  0.177406E+02  0.881142E+00  0.521515E+05  0.241295E+01  0.532255E+03
     1491     8670  0.196311E+02  0.189496E+02  0.186562E+01  0.542027E+05  0.250027E+01  0.553725E+03
     1565     8368  0.208164E+02  0.201797E+02  0.207467E+01  0.564347E+05  0.259684E+01  0.577309E+03
     1643     8102  0.219821E+02  0.215626E+02  0.250632E+01  0.585150E+05  0.268729E+01  0.597937E+03
     1725     7825  0.234528E+02  0.230536E+02  0.180855E+01  0.607982E+05  0.278735E+01  0.621226E+03
     1811     7577  0.249363E+02  0.246325E+02  0.109458E+01  0.631943E+05  0.288793E+01  0.637851E+03
     1901     7337  0.264515E+02  0.263893E+02  0.175113E+01  0.654342E+05  0.298630E+01  0.660029E+03
     1996     7084  0.281707E+02  0.281421E+02  0.191950E+01  0.672199E+05  0.308033E+01  0.670094E+03
     2095     6869  0.300128E+02  0.302509E+02  0.225180E+01  0.696670E+05  0.318457E+01  0.687972E+03
     2199     6656  0.319507E+02  0.322137E+02  0.248358E+01  0.713444E+05  0.327382E+01  0.694984E+03
     2308     6446  0.340697E+02  0.344238E+02  0.148151E+01  0.732552E+05  0.337107E+01  0.712167E+03
     2423     6214  0.365734E+02  0.369129E+02  0.122283E+01  0.752434E+05  0.347972E+01  0.715681E+03
     2544     6024  0.390038E+02  0.395175E+02  0.286670E+01  0.773740E+05  0.358370E+01  0.729186E+03
