Program Mean-density FBM Gaussian Binned (procs as sets)
Integrated density distribution
force_weight= -0.25000000000000000
STEPDIS= GAU
STEPSIG= 1.0000000000000000
GAMMMA= 0.50000000000000000
NT= 1048576
L= 1000000.0000000000
NWALKERS_PER_SET= 64
NSETS= 120
IRINIT= 1
NCONF= 7680
FORCE_TYPE= LINEAR
FORCE_TEST= NONE
GRAD_FORM= SYMM
GRAD_DX= 1
GRAD_TEST= NONE
KILL_FBM_TIME= 1048576
WINDOW_WIDTH= 7
WALKER_SIGMA= 0.50000000000000000
WALKER_WIDTH= 1.5000000000000000
NBINS= 5000000
NTSTART= 0
NTEND= 1048576
REBIN_BINWIDTH_FACTOR= 100
x_rms(t_last=943947)= 30292.42479564817
==================================
 ibin            x               x/x_rms         P(|x|)          (x_rms/t_last)P
 -1.190689E+06   -1.190689E+05   -3.930649E+00    7.577386E-05    2.431677E-06  
 -1.190589E+06   -1.190589E+05   -3.930319E+00    7.806193E-05    2.505104E-06  
 -1.190489E+06   -1.190489E+05   -3.929989E+00    3.014530E-04    9.673999E-06  
 -1.190389E+06   -1.190389E+05   -3.929659E+00    6.932338E-05    2.224673E-06  
 -1.190289E+06   -1.190289E+05   -3.929329E+00    1.251064E-04    4.014818E-06  
 -1.190189E+06   -1.190189E+05   -3.928999E+00    1.087470E-04    3.489825E-06  
 -1.190089E+06   -1.190089E+05   -3.928669E+00    1.528312E-04    4.904542E-06  
 -1.189989E+06   -1.189989E+05   -3.928339E+00    1.870182E-04    6.001647E-06  
 -1.189889E+06   -1.189889E+05   -3.928008E+00    5.658437E-05    1.815862E-06  
 -1.189789E+06   -1.189789E+05   -3.927678E+00    8.329935E-05    2.673179E-06  
 -1.189689E+06   -1.189689E+05   -3.927348E+00    6.198556E-05    1.989193E-06  
 -1.189589E+06   -1.189589E+05   -3.927018E+00    1.344098E-04    4.313377E-06  
 -1.189489E+06   -1.189489E+05   -3.926688E+00    6.712247E-05    2.154043E-06  
 -1.189389E+06   -1.189389E+05   -3.926358E+00    2.603895E-04    8.356222E-06  
 -1.189289E+06   -1.189289E+05   -3.926028E+00    1.478719E-04    4.745392E-06  
 -1.189189E+06   -1.189189E+05   -3.925698E+00    7.670123E-04    2.461437E-05  
 -1.189089E+06   -1.189089E+05   -3.925368E+00    1.738841E-03    5.580156E-05  
 -1.188989E+06   -1.188989E+05   -3.925037E+00    1.250670E-03    4.013553E-05  
 -1.188889E+06   -1.188889E+05   -3.924707E+00    1.517673E-03    4.870401E-05  
 -1.188789E+06   -1.188789E+05   -3.924377E+00    1.111548E-03    3.567096E-05  
 -1.188689E+06   -1.188689E+05   -3.924047E+00    9.247482E-04    2.967631E-05  
 -1.188589E+06   -1.188589E+05   -3.923717E+00    7.597468E-04    2.438121E-05  
 -1.188489E+06   -1.188489E+05   -3.923387E+00    6.710300E-04    2.153418E-05  
 -1.188389E+06   -1.188389E+05   -3.923057E+00    5.409312E-04    1.735915E-05  
 -1.188289E+06   -1.188289E+05   -3.922727E+00    2.797363E-04    8.977085E-06  
 -1.188189E+06   -1.188189E+05   -3.922396E+00    2.945754E-04    9.453289E-06  
 -1.188089E+06   -1.188089E+05   -3.922066E+00    2.055981E-04    6.597897E-06  
 -1.187989E+06   -1.187989E+05   -3.921736E+00    1.850738E-04    5.939246E-06  
 -1.187889E+06   -1.187889E+05   -3.921406E+00    2.221192E-04    7.128078E-06  
