	time  configs     <nwalker>    std.dev.nw           <r>         <r^2>     std.dev.r   std.dev.r^2
      626    16629  0.789861E+01  0.726441E+01 -0.663646E+00  0.380304E+05  0.151227E+01  0.348604E+03
      657    16049  0.830114E+01  0.768659E+01 -0.484773E+00  0.398185E+05  0.157513E+01  0.364639E+03
      689    15463  0.868370E+01  0.808968E+01  0.509056E+00  0.412787E+05  0.163386E+01  0.381048E+03
      723    14924  0.909702E+01  0.852119E+01 -0.165676E-01  0.430495E+05  0.169841E+01  0.397994E+03
      759    14364  0.950738E+01  0.893118E+01  0.441159E+00  0.449566E+05  0.176912E+01  0.416280E+03
      796    13832  0.997759E+01  0.929819E+01  0.236130E+00  0.472126E+05  0.184751E+01  0.437621E+03
      835    13360  0.104287E+02  0.969303E+01  0.712089E+00  0.493005E+05  0.192097E+01  0.456067E+03
      876    12870  0.109545E+02  0.102265E+02  0.647855E+00  0.514861E+05  0.200011E+01  0.475663E+03
      919    12405  0.114918E+02  0.108322E+02  0.808002E+00  0.541165E+05  0.208864E+01  0.499600E+03
      964    11984  0.120762E+02  0.114635E+02  0.807284E+00  0.564085E+05  0.216955E+01  0.517953E+03
     1012    11540  0.127267E+02  0.120837E+02  0.878288E+00  0.589635E+05  0.226040E+01  0.539075E+03
     1062    11117  0.134346E+02  0.128031E+02  0.266143E+01  0.613672E+05  0.234936E+01  0.558742E+03
     1115    10735  0.141453E+02  0.133809E+02  0.274460E+01  0.641685E+05  0.244475E+01  0.580893E+03
     1170    10352  0.148654E+02  0.141651E+02  0.385600E+01  0.665731E+05  0.253565E+01  0.600085E+03
     1228     9970  0.156534E+02  0.149403E+02  0.336501E+01  0.689932E+05  0.263039E+01  0.616818E+03
     1289     9641  0.164950E+02  0.157663E+02  0.417825E+01  0.719404E+05  0.273132E+01  0.636779E+03
     1353     9270  0.175708E+02  0.167350E+02  0.426550E+01  0.741876E+05  0.282861E+01  0.652653E+03
     1420     8957  0.185962E+02  0.177406E+02  0.347115E+01  0.763100E+05  0.291860E+01  0.667910E+03
